"lake","date","year","DOY","microcystin"
"B","2006-05-23",2006,143,0.212354493
"B","2006-06-19",2006,170,0.08
"B","2006-07-17",2006,198,0.593937664
"B","2006-08-11",2006,223,3.394497211
"B","2007-05-07",2007,127,0.08
"B","2007-05-22",2007,142,1.055321904
"B","2007-06-04",2007,155,1.159650497
"B","2007-06-19",2007,170,0.279045903
"B","2007-07-03",2007,184,0.345465391
"B","2007-07-16",2007,197,0.592937135
"B","2007-07-30",2007,211,0.327508308
"B","2007-08-13",2007,225,0.799519579
"B","2007-08-22",2007,234,1.115542652
"B","2008-05-12",2008,133,0.08
"B","2008-05-26",2008,147,0.08
"B","2008-06-09",2008,161,0.08
"B","2008-06-23",2008,175,0.642290091
"B","2008-07-07",2008,189,0.202270449
"B","2008-07-21",2008,203,1.321827857
"B","2008-08-05",2008,218,2.399992618
"B","2008-08-18",2008,231,0.08
"B","2009-05-11",2009,131,0.08
"B","2009-05-20",2009,140,0.08
"B","2009-06-08",2009,159,0.08
"B","2009-06-22",2009,173,0.229656121
"B","2009-07-06",2009,187,0.08
"B","2009-07-20",2009,201,0.159305298
"B","2009-08-04",2009,216,1.124650676
"B","2009-08-17",2009,229,0.398673117
"B","2009-08-31",2009,243,0.183111644
"B","2010-05-10",2010,130,0.08
"B","2010-05-25",2010,145,0.08
"B","2010-06-07",2010,158,0.245008714
"B","2010-06-21",2010,172,1.635322157
"B","2010-07-05",2010,186,1.646083394
"B","2010-07-14",2010,195,0.162328376
"B","2010-08-03",2010,215,0.79796106
"B","2010-08-16",2010,228,1.670900716
"B","2010-08-30",2010,242,1.223872549
"B","2011-05-09",2011,129,0.08
"B","2011-05-24",2011,144,0.08
"B","2011-06-06",2011,157,0.157490272
"B","2011-06-20",2011,171,0.610519587
"B","2011-07-04",2011,185,3.7669762
"B","2011-07-13",2011,194,0.301168137
"B","2011-08-02",2011,214,0.275050556
"B","2011-08-15",2011,227,0.646716283
"B","2011-08-29",2011,241,0.525190338
"B","2012-05-07",2012,128,0.08
"B","2012-05-22",2012,143,0.08
"B","2012-06-04",2012,156,0.328594369
"B","2012-06-18",2012,170,0.18361825
"B","2012-06-28",2012,180,0.157632007
"B","2012-07-16",2012,198,1.218251419
"B","2012-07-25",2012,207,2.137463
"B","2012-08-13",2012,226,1.561702954
"B","2012-08-27",2012,240,0.981700112
"B","2013-05-21",2013,141,0.08
"B","2013-06-03",2013,154,0.160426594
"B","2013-06-17",2013,168,0.08
"B","2013-07-02",2013,183,1.037547594
