lake,name,DOY,year,Canthaxanthin_surface,SS,temp_surface,TDN_ug_L,TDP_ug_L
B,Buffalo Pound,126,2003,0,0.589911922,12.4,370.1,18
B,Buffalo Pound,127,2007,0.038421671,0.09424738,13.4,519,15
B,Buffalo Pound,128,2002,0.087523237,0.392794011,7,296.1,12
B,Buffalo Pound,128,2004,0,1.110206932,15.5,373.35,14.2
B,Buffalo Pound,128,2006,0.025255442,0.25369743,12.2,378.44,19.013
B,Buffalo Pound,128,2012,0,0.042168612,9.9,399,28
B,Buffalo Pound,129,1996,0.487031955,0.49081287,8,NA,NA
B,Buffalo Pound,129,2011,0,0.21420272,9.8,800,54
B,Buffalo Pound,130,2005,0,-0.472874395,9.1,349.8,17.4
B,Buffalo Pound,130,2010,0,0.071088199,8,329,20
B,Buffalo Pound,130,2016,0.01088,0.074286558,15.1,501,28
B,Buffalo Pound,131,2009,0.042276355,1.288447402,11.3,499,46
B,Buffalo Pound,132,2014,0,0.02854978,6.8,831,71
B,Buffalo Pound,133,2008,0.058697476,0.045449224,10.4,452,13.6
B,Buffalo Pound,140,2005,0,0.429759536,12.9,473.89,18.4
B,Buffalo Pound,140,2009,0.042551128,0.057032031,9.8,438,28
B,Buffalo Pound,141,2003,0.422235992,1.050941581,13.3,339.9,10
B,Buffalo Pound,141,2013,0,0.168844187,12.2,617,30
B,Buffalo Pound,142,2007,0.121363787,0.07020428,14.4,626,25
B,Buffalo Pound,143,1996,0.050562096,3.20E-12,12.5,NA,NA
B,Buffalo Pound,143,2002,0.037841905,1.018731704,11,387.6,16
B,Buffalo Pound,143,2006,0.130095336,0.116073325,16.9,393.87,20.297
B,Buffalo Pound,143,2012,0,0.075440318,15.3,430,21
B,Buffalo Pound,144,2011,0,-0.195345048,14.4,521,21
B,Buffalo Pound,145,2010,0.02889556,-0.084112952,12.8,363,23
B,Buffalo Pound,146,2014,0.055789626,-0.081127593,16.2,490,25
B,Buffalo Pound,147,2004,0.039479508,0.195370273,10.80000019,342.94,10.8
B,Buffalo Pound,147,2008,0.108109298,0.43608037,13,541,35.6
B,Buffalo Pound,154,2005,0,1.009470184,15.3,418.1,21.2
B,Buffalo Pound,154,2013,0.053190164,3.28E-12,16,445,19
B,Buffalo Pound,155,2003,0.932371426,0.205084371,16.9,417.4,15
B,Buffalo Pound,155,2007,0.288198903,1.238774689,17.5,495,14
B,Buffalo Pound,156,2002,0.258918297,2.430253842,17.5,462.1,29
B,Buffalo Pound,156,2004,0.196246791,1.194048661,15.5,266.21,13.3
B,Buffalo Pound,156,2006,0.370939757,0.189480664,18.1,384.59,13.276
B,Buffalo Pound,156,2012,0.107880475,1.083631934,17.1,432,31
B,Buffalo Pound,157,2011,0,0.737680116,15.4,424,22
B,Buffalo Pound,158,1996,0.10496592,2.950488344,19,NA,NA
B,Buffalo Pound,158,2010,0.034492156,0.990623847,16,578,20
B,Buffalo Pound,158,2016,0.13668,0.325726915,18.3,490,24
B,Buffalo Pound,159,2009,0.031535925,0.091578014,13.8,327,18
